t,psFlux,psFluxErr,psMag,psMagErr
0,3.896162406674436e-05,8.731098759822562e-07,19.923472993261882,0.024330787686413505
3,3.719215922916006e-05,8.663295831423344e-07,19.97393714101991,0.025290421776135552
6,3.814855689185543e-05,8.800390633158154e-07,19.946370337705577,0.02504656402474312
9,3.949309954477916e-05,8.705186883149675e-07,19.908762572546536,0.023932121502655355
12,3.8590682379377973e-05,8.76298475756255e-07,19.933859477163775,0.024654370501915587
15,3.9102938120907054e-05,8.983607791173571e-07,19.91954214555999,0.024943977861881697
18,4.063148268077482e-05,9.074210869986434e-07,19.877908946214532,0.02424769814224795
21,4.0292217972879444e-05,8.987858444551025e-07,19.88701268545252,0.02421917632595582
24,3.997945472108649e-05,8.940064192136377e-07,19.895473456058486,0.024278848808672333
27,3.903026389739159e-05,9.101514433113562e-07,19.921561903008556,0.025318413844546063
30,3.8791454159993137e-05,9.01190827430346e-07,19.928225471952903,0.025223481045631296
33,3.986550000347738e-05,9.023103678355329e-07,19.898572583537312,0.02457440729960012
36,3.9989490159011286e-05,8.961870277390722e-07,19.89520095431774,0.024331960682215062
39,3.764925574158342e-05,8.914360830212049e-07,19.960674633790248,0.025707398738692572
42,3.9007132169202545e-05,9.076824754236994e-07,19.92220556763026,0.025264705995743004
45,3.8989500007674264e-05,9.025397677756529e-07,19.922696457452837,0.025132923015559167
48,4.048337991265419e-05,9.110348921155381e-07,19.88187371200268,0.02443332469526766
51,3.7647126826132455e-05,8.890268436834582e-07,19.960736029583877,0.02563937045307152
54,4.05497658654955e-05,8.789483693969737e-07,19.88009474494123,0.023534194252387834
57,3.822390559028142e-05,8.783166997625683e-07,19.9442279729383,0.024948267986993934
60,3.929065680198103e-05,8.91965373108756e-07,19.91434240039958,0.024648076102559348
63,4.068855617380502e-05,8.911337759476331e-07,19.876384924122014,0.02377907438386955
66,3.916092479407722e-05,8.88836839140773e-07,19.917933274246217,0.02464299148838972
69,4.002200144975545e-05,9.057909487486014e-07,19.894318613877452,0.02457273478022377
72,3.783366247439243e-05,8.746144776599087e-07,19.955369659651222,0.02509935706710173
75,3.816431933071615e-05,8.692527158904204e-07,19.945921819666765,0.024729358764351676
78,3.587672114961802e-05,8.465491728569601e-07,20.013033759575094,0.025619093847672737
81,3.7360477546238205e-05,8.616365797503339e-07,19.969034575284134,0.025040098291599557
84,3.651428363302549e-05,8.399191644699641e-07,19.993908660487325,0.024974627877142264
87,3.643008663381378e-05,8.582593661462549e-07,19.996415112202246,0.025578947320779404
380,4.169673141342835e-05,9.382069853707624e-07,19.849810591847138,0.024429859536806875
383,4.0813289953224025e-05,9.299200729978238e-07,19.87306161078759,0.02473821375199632
386,3.8621511331271265e-05,9.289261641755143e-07,19.932992460973836,0.02611417143522881
389,4.261717323073841e-05,9.636123334017745e-07,19.82610402262171,0.02454946488499515
